Link,Paper,Type,Model,Date,Citations
https://arxiv.org/abs/1801.06146,Universal Language Model Fine-tuning for Text Classification,New Model ,ULMFiT,18/01/2018,525
https://arxiv.org/abs/1802.05365,Deep contextualized word representations,New Model ,ELMo,15/02/2018,2042
https://arxiv.org/abs/1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,New Model ,BERT,11/10/2018,3089
https://arxiv.org/abs/1812.06705,Conditional BERT Contextual Augmentation,Building on BERT,,17/12/2018,6
https://arxiv.org/abs/1901.04085,Passage Re-ranking with BERT,Building on BERT,,13/01/2019,37
https://arxiv.org/abs/1901.05287,Assessing BERT's Syntactic Abilities,Understanding BERT,,16/01/2019,33
https://arxiv.org/abs/1901.08634,A BERT Baseline for the Natural Questions,Applying BERT,,24/01/2019,19
https://arxiv.org/abs/1901.08746,BioBERT: a pre-trained biomedical language representation model for biomedical text mining,Domain-Specific,BioBERT,25/01/2019,93
https://arxiv.org/abs/1902.02671,BERT and PALs: Projected Attention Layers for Efficient Adaptation in Multi-Task Learning,Building on BERT,,07/02/2019,9
https://arxiv.org/abs/1902.04094,"BERT has a Mouth, and It Must Speak: BERT as a Markov Random Field Language Model",Building on BERT,,11/02/2019,22
https://arxiv.org/abs/1902.10909,BERT for Joint Intent Classification and Slot Filling,Building on BERT,,28/02/2019,8
https://arxiv.org/abs/1903.06464,A Context-Aware Citation Recommendation Model with BERT and Graph Convolutional Networks,Building on BERT,,15/03/2019,3
https://arxiv.org/abs/1903.09588,Utilizing BERT for Aspect-Based Sentiment Analysis via Constructing Auxiliary Sentence,Applying BERT,,22/03/2019,15
https://arxiv.org/abs/1903.10318,Fine-tune BERT for Extractive Summarization,Building on BERT ,BERTSUM,25/03/2019,20
https://arxiv.org/abs/1903.10676,SciBERT: A Pretrained Language Model for Scientific Text,Domain-Specific,SciBERT,26/03/2019,41
https://arxiv.org/abs/1903.10972,Simple Applications of BERT for Ad Hoc Document Retrieval,Applying BERT,,26/03/2019,19
